iter	Logloss
0	0.6821420696
1	0.6729304354
2	0.6659224604
3	0.6593409793
4	0.6536197931
5	0.647882381
6	0.6419446703
7	0.6373243735
8	0.6328677325
9	0.6280055516
10	0.6240420274
11	0.6191985439
12	0.6162955593
13	0.6111427092
14	0.608228979
15	0.6061070939
16	0.6038525004
17	0.6006289737
18	0.5982578976
19	0.595566763
20	0.5928088443
21	0.5899576536
22	0.5883573075
23	0.5862759872
24	0.5843948579
25	0.5816485983
26	0.5794048041
27	0.5777595413
28	0.5756255136
